"Business Date",Underlying,Type,Expiry,Strike,"Stock Price",Volume,Price,"Price Change","Gross OI","OI Change"
2026-06-18,LEN,Put,DEC26,25.00,23.78,2300,4.23,0.25,2708,2300
2026-06-18,LEN,Call,DEC26,25.00,23.78,2001,3.02,-0.69,2071,2001
2026-06-09,LEN,Call,DEC26,32.00,25.38,866,2.16,0.23,1051,866
2026-06-04,LEN,Call,JUN27,24.00,25.00,250,5.89,-0.91,450,250
2026-06-04,LEN,Put,JUN27,25.00,25.00,250,5.18,0.26,600,250
2026-06-04,LEN,Call,JUN27,25.00,25.00,250,5.50,-0.88,600,250
2026-06-04,LEN,Put,JUN27,24.00,25.00,250,4.59,0.23,540,250
2026-06-03,LEN,Call,JUN27,15.00,26.14,360,12.09,-0.53,450,360
2026-06-02,LEN,Put,DEC26,15.50,26.58,810,0.54,-0.14,835,709
2026-06-02,LEN,Put,JUN27,26.00,26.58,250,5.52,-0.63,590,250
2026-06-02,LEN,Call,JUN27,26.00,26.58,250,6.47,0.91,501,250
2026-06-02,LEN,Put,JUN27,27.00,26.58,250,6.14,-0.69,250,250
2026-06-02,LEN,Call,JUN27,27.00,26.58,250,6.06,0.82,250,250
2026-06-01,LEN,Call,DEC26,26.00,25.24,363,4.29,0.53,333,287
2026-06-01,LEN,Call,DEC26,27.00,25.24,265,4.11,0.57,716,200
2026-06-01,LEN,Call,JUN27,25.00,25.24,250,5.85,0.43,350,250
2026-06-01,LEN,Call,JUN27,26.00,25.24,252,5.56,0.44,251,251
2026-06-01,LEN,Put,JUN27,26.00,25.24,340,6.15,-0.73,340,340
2026-06-01,LEN,Put,JUN27,25.00,25.24,250,5.51,-0.69,350,250
2026-05-29,LEN,Call,DEC26,27.00,24.00,521,3.54,2.42,516,511
2026-05-29,LEN,Call,DEC26,24.00,24.00,831,4.46,2.73,861,801
2026-05-28,LEN,Call,MAR27,19.00,19.68,6030,3.64,0.38,6060,6030
2026-05-28,LEN,Put,MAR27,19.00,19.68,6001,3.06,-0.23,6020,6001
2026-05-22,LEN,Call,DEC26,18.00,15.75,731,1.25,0.87,865,205
2026-05-15,LEN,Call,DEC26,18.00,12.42,390,0.27,-0.12,480,390
2026-05-13,LEN,Put,DEC26,11.00,12.94,228,0.76,-0.01,338,228
2026-05-07,LEN,Put,MAR27,7.00,12.56,280,0.08,-0.01,287,235
2026-05-07,LEN,Put,MAR27,6.75,12.56,250,0.06,-0.01,264,250
2026-04-24,LEN,Call,SEP26,14.50,12.00,242,0.43,0.10,452,222
2026-04-24,LEN,Call,MAR27,14.00,12.00,349,1.00,0.15,383,349
2026-04-24,LEN,Call,MAR27,13.00,12.00,623,1.27,0.17,637,623
2026-04-24,LEN,Call,SEP26,13.50,12.00,966,0.66,0.14,2016,901
2026-04-23,LEN,Call,SEP26,12.00,11.64,1800,0.98,-0.01,14431,1800
2026-04-23,LEN,Put,SEP26,10.50,11.64,3005,0.72,-0.02,3305,3005
2026-04-22,LEN,Call,SEP26,13.50,11.63,1153,0.53,0.20,1115,976
2026-04-22,LEN,Call,SEP26,11.00,11.63,306,1.46,0.41,1545,306
2026-04-17,LEN,Call,SEP26,12.00,11.30,1107,0.82,0.06,12920,434
2026-04-16,LEN,Put,SEP26,11.00,11.10,1905,1.19,-0.22,9589,1905
2026-04-14,LEN,Call,SEP26,11.00,10.43,600,0.76,0.14,1157,535
2026-04-13,LEN,Put,SEP26,10.00,10.07,537,1.10,0.03,571,392
2026-04-13,LEN,Call,SEP26,11.00,10.07,500,0.62,0.01,622,381
2026-04-09,LEN,Call,SEP26,12.00,9.88,348,0.32,-0.05,12268,348
2026-03-26,LEN,Call,MAR27,11.50,9.37,12000,0.63,-0.03,12000,12000
2026-03-19,LEN,Call,SEP26,9.50,9.37,420,0.86,-0.15,501,420
2026-03-19,LEN,Call,SEP26,9.25,9.37,240,0.97,-0.14,255,227
2026-03-18,LEN,Call,MAR27,9.50,9.61,334,1.37,0.05,394,334
2026-02-27,LEN,Call,SEP26,11.50,9.73,540,0.49,0.05,6019,240
2026-02-27,LEN,Put,SEP26,8.50,9.73,233,0.57,-0.05,767,200
2026-02-26,LEN,Put,DEC26,12.00,9.61,5000,3.05,-0.04,5000,5000
2026-02-26,LEN,Call,DEC26,12.00,9.61,10000,0.54,0.00,10008,10000
2026-02-12,LEN,Call,DEC26,8.00,9.00,260,1.63,-0.34,260,260
2026-02-03,LEN,Call,SEP26,11.50,9.18,243,0.39,0.02,5730,243
2026-01-27,LEN,Call,SEP26,8.75,8.88,540,1.08,0.04,1290,540
2026-01-23,LEN,Put,JUN26,8.50,8.84,500,0.60,-0.09,971,417
2026-01-23,LEN,Call,SEP26,8.75,8.84,500,1.09,0.12,750,500
2026-01-22,LEN,Put,DEC26,7.50,8.64,3005,0.67,0.00,3273,2995
2026-01-22,LEN,Put,DEC26,7.00,8.64,200,0.48,0.00,941,200
2026-01-22,LEN,Put,SEP26,7.75,8.64,1000,0.64,0.01,1451,1000
2026-01-21,LEN,Call,SEP26,8.50,8.65,533,1.10,-0.15,533,502
2026-01-21,LEN,Call,JUN26,8.50,8.65,500,0.96,-0.09,778,500
2026-01-21,LEN,Put,DEC26,7.00,8.65,302,0.48,0.05,741,302
2026-01-20,LEN,Call,JUN26,9.00,8.86,610,0.83,-0.04,682,555
2026-01-15,LEN,Call,SEP26,9.00,9.02,484,1.13,0.01,510,431
2026-01-15,LEN,Call,SEP26,8.75,9.02,220,1.24,0.01,250,220
2026-01-14,LEN,Call,JUN26,11.50,9.00,240,0.24,0.01,2192,240
2026-01-12,LEN,Call,JUN26,11.50,8.99,231,0.24,0.00,1952,231
2026-01-09,LEN,Call,JUN26,12.00,8.99,457,0.18,0.03,1279,457
2026-01-08,LEN,Call,JUN26,12.00,8.78,438,0.15,-0.09,822,360
2026-01-08,LEN,Put,DEC26,7.00,8.78,420,0.48,0.09,447,420
2026-01-08,LEN,Call,JUN26,11.50,8.78,467,0.21,-0.11,1614,419
2026-01-07,LEN,Call,JUN26,11.50,9.30,236,0.32,-0.04,1195,236
2026-01-07,LEN,Call,JUN26,11.00,9.30,870,0.42,-0.05,3307,869
2026-01-07,LEN,Put,JUN26,9.00,9.30,3000,0.71,0.04,5200,3000
2026-01-07,LEN,Call,JUN26,9.50,9.30,2001,0.89,-0.09,2011,2001
2026-01-05,LEN,Call,DEC26,9.50,9.55,271,1.40,0.00,325,271
2026-01-05,LEN,Call,JUN26,11.50,9.55,283,0.42,0.01,903,275
